AÑO,No.,VALOR ADICIONAL,VALOR TOTAL,OBJETO,MUNICIPIO,ESTADO,FECHA INICIO,FECHA TERMINACION,% AVANCE OBRA,% EJECUCION $$$$
2004,368,$ 0.00,"$ 57,560,636,969.00","OBRAS DE PAVIMENTACION, MANTENIMIENTO, CONSTRUCCION, MEJORAMIENTO Y REHABILITACION DE LA VIA TRES ESQUINAS - LA PUNTA; LA PUNTA - LOS SANTOS","LOS SANTOS
PIEDECUESTA",EJECUCION,2005-01-04T00:00:00.000,2025-01-04T00:00:00.000,50.00%,20.00%
2005,95,$ 0.00,"$ 1,754,480,280.00","INTERVENTORIA TECNICA, ADMINISTRATIVA Y CONTABLE PARA LAS OBRAS DE PAVIMENTACION, MANTENIMIENTO, CONSTRUCCION, MEJORAMIENTO Y REHABILITACION DE LA VIA TRES ESQUINAS - LA PUNTA; LA PUNTA - LOS SANTOS","LOS SANTOS
PIEDECUESTA",EJECUCION,2005-06-26T00:00:00.000,2024-12-24T00:00:00.000,0.00%,19.00%
2008,1511,"Adicional 1 (DPTO):  5.000.000.000,00
Adicional 2 (ESSA): 9.581.124.963,00
Adicional 3 (ESSA): 543.579.523,00","$ 31,081,123,963.00","CONSTRUCCION DE UNA LINEA DOBLE CIRCUITO, TERMOBARRANCA, PUERTO WILCHES 115/34.5 KV, UNA SUBESTACION EN PUERTO WILCHES 115/34.5 KV Y AMPLIACION DE LA SUBESTACION TERMOBARRANCA.",PUERTO WILCHES,TERMINADO,2009-08-10T00:00:00.000,2016-12-08T00:00:00.000,100.00%,25.00%
2008,1571,$ 0.00,"$ 313,248,055.00",CONSTRUCCION DE REDES DE DISTRIBUCION DE GAS NATURAL EN EL SECTOR RURAL PARA EL MUNICIPIO DE BUCARAMANGA-SANTANDER,BUCARAMANGA,LIQUIDADO,2009-12-21T00:00:00.000,2010-04-18T00:00:00.000,0.00%,0.00%
2008,1574,$ 0.00,"$ 145,465,207.40","CONSTRUCCION DE LAS ACOMETIDAS ELECTRICAS DE LA TRES (3) ESTACIONES DEL TELEFERICO DEL CAÑON DEL CHICAMOCHA, DEPARTAMENTO DE SANTANDER",PIEDECUESTA - LOS SANTOS,LIQUIDADO,2008-12-29T00:00:00.000,29/02/2009,100.00%,100.00%
2008,1610,"$ 74,000,000.00","$ 3,617,631,049.72","CONSTRUCCION DE ACUEDUCTO INTERVEREDAL CORPOJOYAS  ACUASANS DE SAN GIL- CURITI, Y VILLANUEVA DEL DEPARTAMENTO DE SANTANDER",SAN GIL-CURITI-VILLANUEVA,LIQUIDADO,2009-02-25T00:00:00.000,2012-02-27T00:00:00.000,100.00%,99.94%
2009,1432,"$ 1,030,167,197.12","$ 3,090,648,264.12",CONSTRUCCION DEL PATINODROMO EN LA VILLA OLIMPICA DEL MUNICIPIO DEL SOCORRO SANTANDER.,SOCORRO,LIQUIDADO,2009-11-23T00:00:00.000,1899-12-31T00:00:00.000,100.00%,100.00%
2009,1628,$ 0.00,"$ 3,959,499,888.00","CONSTRUCCION REDES DE MEDIA Y BAJA TENSION, MONTAJE DE TRANSFORMADORES E INSTALACIONES INTERNAS PARA LA ELECTRIFICACION RURAL DE LAS VEREDAS DE SATNANDER FASE III DE LOS MUNICIPIOS PALMAS DEL SOCORRO - CIMITARRA - ONZAGA - MOGOTES - PUERTO - PARRA-SABANA DE TORRES-CHARALA-SANTA HELENA DEL OPON-GUADALUPE-SURATA-SUAITA-EL CARMEN DE CHUCURI-SIMACOTA-SAN ANDRES-CARCASI-SAN MIGUEL-CONCEPCION",CIMITARRA-PUERTO PARRA-MOGOTES-ONZAGA-SABANA DE TORRES-SOCORRO-PALMAS DEL SOCORRO,LIQUIDADO,2009-12-28T00:00:00.000,2011-07-27T00:00:00.000,100.00%,100.00%
2009,1706,$ 0.00,"$ 24,000,000,000.00","CONTRATO DE FIDUCIA MERCANTIL IRREVOCABLE DE RECAUDO, ADMINISTRACION, GARANTIA Y PAGOS PARA EL MANEJO DE LOS RECURSOS DE LOS PLANES DEPARTAMENTALES DE AGUAS",DEPARTAMENTO,EJECUCION,2009-02-10T00:00:00.000,1899-12-31T00:00:00.000,0.00%,0.00%
2009,1720,"ADIC 1: 232.558.748,00
ADIC 2: 1.326.573.654,00
ADIC 3: 358.518.140,00","$ 5,273,141,041.00",AMPLIACION SISTEMA DE ACUEDUCTO MUNICIPIO DE SAN GIL SANTANDER.,SAN GIL,LIQUIDADO,2009-12-09T00:00:00.000,2013-03-12T00:00:00.000,100.00%,100.00%
2009,1757,"$ 413,198,111.00","$ 1,257,207,790.00","AMPLIACION Y MEJORAMIENTO DE LA PLAZA DE MERCADO DEL MUNICIPIO DE PUENTE NACIONAL , SANTANDER.",PUENTE NACIONAL,LIQUIDADO,2009-12-17T00:00:00.000,2012-02-13T00:00:00.000,100.00%,0.00%
2009,1864,"$ 1,032,976,991.00","$ 3,801,021,788.78",CONSTRUCCION DEL CENTRO CULTURAL Y RECREATIVO EN EL BARRIO LA CUMBRE DEL MUNICIPIO DE FLORIDABLANCA DEPARTAMENTO DE SANTANDER.,FLORIDABLANCA,LIQUIDADO,1900-01-02T00:00:00.000,2013-09-24T00:00:00.000,100.00%,100.00%
2009,2025,"ADIC 1: 162.906.920,00
ADIC 2: 316.035.248,80
ADIC 3: 90.855.840,00","$ 1,354,843,088.80","INTERVENTORIA TECNICA, FINANCIERA, AMBIENTAL Y SOCIAL PARA LA REHABILITACION DE LA VIA LA RENTA - SAN VICENTE SECTOR K26+000 AL K44+000 DEL MUNICIPIO DE SAN VICENTE DE CHUCURI DEPARTAMENTO DE SANTANDER'",SAN VICENTE DE CHUCURI,LIQUIDADO,2010-02-10T00:00:00.000,2012-10-17T00:00:00.000,100.00%,100.00%
2009,2027,$ 0.00,"$ 12,000,000,000.00",CONSTRUCCION PORTAL DEL NORTE PARA EL SISTEMA INTEGRADO DE TRANSPORTE MASIVO-METROLINEA (SITM) EN EL MUNICIPIO DE BUCARAMANGA Y SU AREA METROPOLITANA.',BUCARAMANGA,TERMINADO,2009-12-17T00:00:00.000,2017-08-31T00:00:00.000,0.00%,0.00%
2009,2225,"1. 6.547.860,69
2. 11.857.685","$ 67,450,345.69","INTERVENTORIA:CONSTRUCCION COMPLEJO ACUATICO VILLA OLIMPICA ALFONSO LOPEZ MUNICIPIO DE BUCARAMANGA DEPARTAMENTO DE SANTANDER PARA LO CUAL DEBE CEÑIRSE AL PROYECTO VIABILIZADO, A LA INVITACION",BUCARAMANGA,LIQUIDADO,2010-04-26T00:00:00.000,2012-01-29T00:00:00.000,100.00%,100.00%
2009,2253,$ 0.00,"$ 46,100,695.64",MANTENIMIENTO DE LA VIA QUE COMUNICA A EL CASCO URBANO DEL MUNICIPIO DE RIONEGRO HACIA EL CORREGIMIENTO DE LLANO DE PALMAS DEL MUNICIPIO DE RIONEGRO SANTANDER. ',RIONEGRO,LIQUIDADO,1899-12-31T00:00:00.000,1899-12-31T00:00:00.000,55.00%,0.00%
2009,2283,$ 0.00,,EL OBJETO DEL ESTE CONVENIO INTERADMINISTRATIVO ES ESTABLECER DE BUENA FE: (i) DECLARACIONES DE INTENCION Y (ii) CONDICIONES CONTRACTUALES BAJO LAS CUALES LAS ENTIDADES ASOCIADAS ESPERAN EJECUTAR LAS DIFERENTES FASES DEL PROYECTO CONEXION VIAL TRONCAL DEL MAGDALENA MEDIO- PUENTE GUILLERMO GAVIRIA CORREA.',BARRANCABERMEJA,EJECUCION,2009-11-13T00:00:00.000,2023-08-30T00:00:00.000,80.00%,100.00%
2010,1256,$ 0.00,"$ 49,608,551.52","'""CONSTRUCCION PLACA  HUELLAS EN CONCRETO DE 3000 PSI EN DIFERENTES SECTORES DE LA VIA VEREDA LA AGUADA DEL MUNICIPIO DE LEBRIJA SANTANDER"". '",LEBRIJA,LIQUIDADO,2010-12-28T00:00:00.000,2011-03-31T00:00:00.000,100.00%,0.00%
2010,1469,"$ 58,672,384.00","$ 736,020,547.00",ADECUACION CANCHA DE FUTBOL MUNICIPAL-MUNICIPIO DE LEBRIJA SANTANDER,LEBRIJA,LIQUIDADO,2011-07-06T00:00:00.000,2013-01-31T00:00:00.000,100.00%,100.00%
2010,1511,$ 0.00,"$ 899,131,834.00","OPTIMIZACIÓN E IMPERMEABILIZACIÓN DEL EMBALSE 1 REFUERZO DEL SISTEMA DEL ACUEDUCTO DEL MUNICIPIO DE MÁLAGA, DEPARTAMENTO DE SANTANDER",MALAGA,LIQUIDADO,2010-12-10T00:00:00.000,2011-12-26T00:00:00.000,100.00%,0.00%
2010,1600,$ 0.00,"$ 6,555,297,664.00",CONSTRUCCION PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES EL SANTUARIO 1 FASE 3 MUNICIPO DE PIEDECUESTA SANTANDER.,PIEDECUESTA,CEDIDO,2011-01-11T00:00:00.000,2014-06-27T00:00:00.000,80.00%,80.00%
2010,1684,"ADIC 1: 218.585.760,00
ADIC 2: 70.000.000,00","$ 1,053,670,720.00","""INTERVENTORIA MEJORAMIENTO Y PAVIMENTACION DE LA VIA GIRON-ZAPATOCA-DEPARTAMENTO DE SANTANDER""'",GIRON - ZAPATOCA,LIQUIDADO,2011-02-01T00:00:00.000,2012-07-12T00:00:00.000,100.00%,100.00%
2010,1687,"ADIC: 3.521.414.240,00
ADIC: 1.000.000.000,00","$ 14,900,090,347.80",MEJORAMIENTO Y PAVIMENTACION DE LA VIA GIRON-ZAPATOCA DEPARTAMENTO DE SANTANDER',GIRON - ZAPATOCA,LIQUIDADO,2011-02-01T00:00:00.000,2012-07-12T00:00:00.000,100.00%,100.00%
2010,1725,$ 0.00,"$ 7,259,091,801.00","CONSTRUCCION DE REDES DE MEDIA Y BAJA TENSION, MONTAJE DE TRANSFORMADORES  E INSTALACIONES INTERNAS PARA LA ELECTRIFICADORA RURAL DE LAS VEREDAS DE SANTANDER FASE IV, QUE SERAN DEFINIDAS POR LA GOBERNACION DE SANTANDER Y ESSA DE ACUERDO CON LA INFORMACION",CIMITARRA,LIQUIDADO,2011-01-28T00:00:00.000,2012-01-27T00:00:00.000,100.00%,100.00%
2010,1777,"$ 29,028,420.00","$ 595,833,420.00","INTERVENTORIA MEJORAMIENTO Y PAVIMENTACION DE LA VIA ENCISO-CARCASI, SECTOR 1, (MUNICIPIO DE ENCISO: 4 KM), SECTOR 2 (MUNICIPIO CARCASI 2.19 KM) DEPARTAMENTO DE SANTANDER'",ENCISO - CARCASI,LIQUIDADO,2011-08-16T00:00:00.000,2012-12-16T00:00:00.000,100.00%,"100%
ACTA 9"
2010,1831,$ 0.00,"$ 597,445,075.00",ADECUACION Y PAVIMENTACION CALLE DE LOS ESTUDIANTES UBICADA EN LA CALLE 2 ENTRE CARRERA 2 Y 7 Y CARRERA 2 ENTRE CALLES 2 Y ENTREDA AL COLEGIO DEL CASCO URBANO DEL MUNICIPIO DE MOGOTES SANTANDER',MOGOTES,LIQUIDADO,2011-05-16T00:00:00.000,2012-07-06T00:00:00.000,100.00%,90.00%
2010,1836,$ 0.00,"$ 5,000,000,000.00",CONSTRUCCION DEL COLISEO CUBIERTO BICENTENARIO Y REUBICACION DE ZONAS DEPORTIVAS ALEDAÑAS EN LA UNIDAD DEPORTIVA ALFONSO LOPEZ EN EL MUNICIPIO DE BUCARAMANGA,BUCARAMANGA,LIQUIDADO,2011-05-02T00:00:00.000,2015-06-02T00:00:00.000,100.00%,100.00%
2010,1852,$ 0.00,"$ 3,719,630,835.00",5209701 CONSTRUCCION DE PUENTE VEHICULAR SECTOR CAÑO QUEBRADA LAS ANGUSTIAS SOBRE LA VIA DE ACCESO AL MUNICIPIO DE PUERTO WILCHES,PUERTO WILCHES,LIQUIDADO,2010-12-22T00:00:00.000,"06/06/2013
16/06/2013",100.00%,0.00%
2010,1889,$ 0.00,"$ 2,699,901,408.00",EQUIPAMIENTO COMUNITARIO Y OBRAS DE INTERES SOCIAL Y COMUNITARIO (CONSTRUCCION Y ADECUACION DEL CENTRO DE ACOPIO DE TRANSPORTE PARA EL MUNICIPIO DE BARBOSA),BARBOSA,LIQUIDADO,2011-04-11T00:00:00.000,2014-09-23T00:00:00.000,10.00%,29.31%
2010,1892,"ADIC 1: 237.274.752,00
ADIC 2: 129.999.999,62","$ 841,972,735.62","""INTERVENTORIA - MEJORAMIENTO Y PAVIMENTACION DE LA VIA HATO - PALMAR, DEPARTAMENTO DE SANTANDER""'",HATO-PALMAR,LIQUIDADO,2011-03-04T00:00:00.000,2012-01-02T00:00:00.000,100.00%,"99,6%
ACTA 16"
2010,1896,"$ 16,500,000.00","$ 63,842,935.00",ESTUDIOS Y DISEÑOS PARA ALTERNATIVAS DE ABASTECIMIENTO DE AGUA POTABLE PARA LA VEREDA SANTA ELENA DEL MUNICIPIO DE BARICHARA.,BARICHARA,LIQUIDADO,2011-01-15T00:00:00.000,2012-12-27T00:00:00.000,100.00%,100.00%
2010,1957,$ 0.00,"$ 100,899,110.00","CONSTRUCION DE BATEA, PLACA HUELLA Y ALCANTARILLA EN EL SECTOR CIDRA - VILLA OLIMPICA DE LA VIA VEREDA GUAYANAS DEL MUNICIPIO DE FLORIDABLANCA",FLORIDABLANCA,LIQUIDADO,2011-03-25T00:00:00.000,2015-02-12T00:00:00.000,0.00%,50.00%
2010,1987,"$ 314,433,675.00","$ 1,094,079,029.00",REPOSICION PARCIAL Y AMPLIACION REDES SANITARIAS DEL MUNICIPIO DE SAN ANDRES,SAN ANDRES,LIQUIDADO,2011-05-04T00:00:00.000,2013-06-06T00:00:00.000,100.00%,100.00%
2010,1989,"ADIC 1: 836.400.000,00
ADIC 3: 416.950.536,00","$ 3,823,162,900.00","CONSTRUCCION CIUDADELA DEPORTIVA, PRIMERA ETAPA DEL MUNICIPIO DE MALAGA SANTANDER",MALAGA,LIQUIDADO,2011-04-27T00:00:00.000,2012-12-26T00:00:00.000,100.00%,100.00%
2010,2035,"$ 11,743,122.00","$ 35,430,322.00",INTERVENTORIA PLAZA DE FERIAS DEL MUNICIPIO DE OIBA SANTANDER,OIBA,LIQUIDADO,2011-08-25T00:00:00.000,2013-01-14T00:00:00.000,100.00%,100.00%
2010,2045,"$ 226,474,503.00","$ 684,238,588.00",ADECUACION COLISEO Y PLAZA DE FERIAS DEL MUNICIPIO DE OIBA SANTANDER,OIBA,LIQUIDADO,2011-05-23T00:00:00.000,2013-02-14T00:00:00.000,100.00%,100.00%
2010,2049,$ 0.00,"$ 601,475,344.20",CONSTRUCCION PARQUE ECOLOGICO FASE II BARRIO EL CINCUENTENARIO MUNICIPIO DE BARRANCABERMEJA,BARRANCABERMEJA,LIQUIDADO,2011-10-10T00:00:00.000,2013-10-03T00:00:00.000,0.00%,0.00%
2010,2053,$ 0.00,"$ 113,677,425.00",MEJORAMIENTO DE LA CASA DE MERCADO DEL MUNICIPIO DE BOLIVAR SANTANDER,BOLIVAR,LIQUIDADO,2011-06-17T00:00:00.000,2013-12-23T00:00:00.000,100.00%,"100%
ACTA FINAL"
2010,2079,$ 0.00,"$ 35,498,320.00",INTERVENTORIA CONSTRUCCION Y OPTIMIZACION DEL ACUEDUCTO DEL CORREGIMIENTO VIJAGUAL MUNICIPIO DE PUERTO WILCHES DEPARTAMENTO DE SANTANDER,PUERTO WILCHES,LIQUIDADO,2011-03-28T00:00:00.000,2013-10-28T00:00:00.000,100.00%,"80,26%
ACTA 1"
2010,2092,"$ 16,294,000.00","$ 56,638,800.00",INTERVENTORIA REPOSICION PARCIAL Y AMPLIACION DE REDES SANITARIAS DEL MUNICIPIO DE SAN ANDRES SANTANDER,SAN ANDRES,LIQUIDADO,2011-07-26T00:00:00.000,2013-05-04T00:00:00.000,100.00%,100.00%
